#NettingSetId,RiskType,MarginType,Bucket,Analytic,Value
,All,All,All,SA_CVA_CAPITAL,562485.6234
CPTY_A,All,All,All,SA_CVA_CAPITAL,562485.6234
,InterestRate,Delta,All,SA_CVA_CAPITAL,49285.5336
,InterestRate,Delta,EUR,SA_CVA_CAPITAL,31066.8379
,InterestRate,Delta,USD,SA_CVA_CAPITAL,28811.4235
,InterestRate,Vega,All,SA_CVA_CAPITAL,46060.6032
,InterestRate,Vega,EUR,SA_CVA_CAPITAL,27859.7475
,InterestRate,Vega,USD,SA_CVA_CAPITAL,25306.0157
,ForeignExchange,Delta,All,SA_CVA_CAPITAL,360.8727
,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,360.8727
,ForeignExchange,Vega,All,SA_CVA_CAPITAL,17.7940
,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,17.7940
,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,466760.8200
,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,466760.8200
CPTY_A,InterestRate,Delta,All,SA_CVA_CAPITAL,49285.5336
CPTY_A,InterestRate,Delta,EUR,SA_CVA_CAPITAL,31066.8379
CPTY_A,InterestRate,Delta,USD,SA_CVA_CAPITAL,28811.4235
CPTY_A,InterestRate,Vega,All,SA_CVA_CAPITAL,46060.6032
CPTY_A,InterestRate,Vega,EUR,SA_CVA_CAPITAL,27859.7475
CPTY_A,InterestRate,Vega,USD,SA_CVA_CAPITAL,25306.0157
CPTY_A,ForeignExchange,Delta,All,SA_CVA_CAPITAL,360.8727
CPTY_A,ForeignExchange,Delta,USD,SA_CVA_CAPITAL,360.8727
CPTY_A,ForeignExchange,Vega,All,SA_CVA_CAPITAL,17.7940
CPTY_A,ForeignExchange,Vega,USD,SA_CVA_CAPITAL,17.7940
CPTY_A,CreditCounterparty,Delta,2,SA_CVA_CAPITAL,466760.8200
CPTY_A,CreditCounterparty,Delta,All,SA_CVA_CAPITAL,466760.8200
