#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
1:EquityOption,DiscountCurve/EUR/2/3M,Up,153167.58,0.000100,#N/A,153163.72,-3.86
1:EquityOption,IndexCurve/EUR-ESTER/2/3M,Up,153167.58,0.000100,#N/A,153227.75,60.17
1:EquityOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,153167.58,4.337500,#N/A,155565.14,2397.56
1:EquityOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,153167.58,4.337500,#N/A,150791.61,-2375.97
1:EquityOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Up,153167.58,0.000162,#N/A,153260.41,92.83
1:EquityOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Up,153167.58,0.000160,#N/A,153212.31,44.73
1:EquityOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Down,153167.58,0.000162,#N/A,153074.75,-92.83
1:EquityOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Down,153167.58,0.000160,#N/A,153122.85,-44.73
2:EquityBarrierOption,DiscountCurve/EUR/2/3M,Up,155611.58,0.000100,#N/A,155607.66,-3.92
2:EquityBarrierOption,IndexCurve/EUR-ESTER/2/3M,Up,155611.58,0.000100,#N/A,155671.72,60.14
2:EquityBarrierOption,EquitySpot/RIC:.STOXX50E/0/spot,Up,155611.58,4.337500,#N/A,158008.60,2397.02
2:EquityBarrierOption,EquitySpot/RIC:.STOXX50E/0/spot,Down,155611.58,4.337500,#N/A,153238.25,-2373.33
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,Up,155611.58,0.000163,#N/A,155611.55,-0.03
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Up,155611.58,0.000163,#N/A,155613.02,1.44
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,Up,155611.58,0.000163,#N/A,155611.25,-0.33
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,Up,155611.58,0.000162,#N/A,155612.35,0.77
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/120/2W/0.25,Up,155611.58,0.000160,#N/A,155610.72,-0.86
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/132/2W/0.5,Up,155611.58,0.000155,#N/A,155611.81,0.23
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/61/1M/-0.1,Up,155611.58,0.000159,#N/A,155612.45,0.87
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/73/1M/-0.05,Up,155611.58,0.000158,#N/A,155609.95,-1.63
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,Up,155611.58,0.000157,#N/A,155609.02,-2.56
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/97/1M/0.05,Up,155611.58,0.000157,#N/A,155612.64,1.06
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Up,155611.58,0.000162,#N/A,155707.23,95.65
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Up,155611.58,0.000160,#N/A,155657.14,45.56
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,Up,155611.58,0.000157,#N/A,155611.83,0.25
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/72/2W/-0.05,Down,155611.58,0.000163,#N/A,155611.61,0.03
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/84/2W/ATM,Down,155611.58,0.000163,#N/A,155610.17,-1.41
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/96/2W/0.05,Down,155611.58,0.000163,#N/A,155611.94,0.36
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/108/2W/0.1,Down,155611.58,0.000162,#N/A,155610.81,-0.76
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/120/2W/0.25,Down,155611.58,0.000160,#N/A,155612.45,0.87
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/132/2W/0.5,Down,155611.58,0.000155,#N/A,155611.35,-0.23
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/61/1M/-0.1,Down,155611.58,0.000159,#N/A,155610.70,-0.88
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/73/1M/-0.05,Down,155611.58,0.000158,#N/A,155613.30,1.72
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/85/1M/ATM,Down,155611.58,0.000157,#N/A,155614.21,2.63
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/97/1M/0.05,Down,155611.58,0.000157,#N/A,155610.53,-1.05
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/62/3M/-0.1,Down,155611.58,0.000162,#N/A,155515.93,-95.65
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/74/3M/-0.05,Down,155611.58,0.000160,#N/A,155566.05,-45.53
2:EquityBarrierOption,EquityVolatility/RIC:.STOXX50E/86/3M/ATM,Down,155611.58,0.000157,#N/A,155611.34,-0.24
3:EquityAccumulator,DiscountCurve/EUR/4/1Y,Up,595316.20,0.000100,#N/A,595306.41,-9.79
3:EquityAccumulator,DiscountCurve/EUR/5/2Y,Up,595316.20,0.000100,#N/A,595288.45,-27.76
3:EquityAccumulator,DiscountCurve/EUR/6/3Y,Up,595316.20,0.000100,#N/A,595261.98,-54.22
3:EquityAccumulator,DiscountCurve/EUR/7/5Y,Up,595316.20,0.000100,#N/A,595226.96,-89.24
3:EquityAccumulator,DiscountCurve/EUR/8/10Y,Up,595316.20,0.000100,#N/A,595316.07,-0.13
3:EquityAccumulator,IndexCurve/EUR-ESTER/4/1Y,Up,595316.20,0.000100,#N/A,595373.98,57.78
3:EquityAccumulator,IndexCurve/EUR-ESTER/5/2Y,Up,595316.20,0.000100,#N/A,595433.50,117.30
