#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_1,2016-02-05,0.000000,0,1744838,0,0,0,0,0
Swap_1,2016-02-19,0.038251,648,1749289,-846839,1333810,0,648,648
Swap_1,2016-03-04,0.076503,78642,1758156,-624462,844076,531740,78632,78632
Swap_1,2016-03-18,0.114754,267497,1614258,-473540,-46657,1665366,267439,267439
Swap_1,2016-04-01,0.153005,326213,1728446,-363519,754537,2504054,326113,326113
Swap_1,2016-04-15,0.191257,414841,1800936,-758883,359938,2740609,414674,414674
Swap_1,2016-04-29,0.229508,529242,1963531,-230607,615236,3343770,528969,528969
Swap_1,2016-05-13,0.267760,548496,1961946,-287271,183294,3664312,548150,548150
Swap_1,2016-05-27,0.306011,644188,2031933,-35261,973380,4412182,643713,643713
Swap_1,2016-06-10,0.344262,775094,2068160,113588,324612,4658728,774438,774438
Swap_1,2016-06-24,0.382514,875553,2146675,45180,797476,4537726,874689,874689
Swap_1,2016-07-08,0.420765,928527,2201793,-26872,668474,5040633,927480,927480
Swap_1,2016-07-22,0.459016,975321,2307891,-67128,872094,5686512,974131,974131
Swap_1,2016-08-05,0.497268,991261,2348738,-44184,882834,6050479,989977,989977
Swap_1,2016-08-19,0.535519,920349,2234043,95026,476695,6531074,919037,989977
Swap_1,2016-09-02,0.573770,960858,2332166,139609,613704,6236861,959333,989977
Swap_1,2016-09-16,0.612022,1161933,2363737,-163241,-11766,7173117,1159916,1159916
Swap_1,2016-09-30,0.650273,1186142,2396568,-111625,683930,6690294,1183946,1183946
Swap_1,2016-10-14,0.688525,1171320,2343435,161930,809367,7896840,1168997,1183946
Swap_1,2016-10-28,0.726776,1202086,2382986,147423,717400,7554764,1199470,1199470
Swap_1,2016-11-14,0.773224,1264993,2374437,108985,705786,7057520,1261964,1261964
Swap_1,2016-11-25,0.803279,1336522,2415204,389678,493196,6944325,1333177,1333177
Swap_1,2016-12-09,0.841530,1447951,2518933,-141623,685003,6636145,1444127,1444127
Swap_1,2016-12-23,0.879781,1487013,2624207,-24782,407306,7192627,1482887,1482887
Swap_1,2017-01-06,0.918070,1492630,2621480,116287,885079,8101853,1488290,1488290
Swap_1,2017-01-20,0.956426,1471364,2604767,172199,531030,6021307,1466906,1488290
Swap_1,2017-02-03,0.994783,1550788,2703445,441612,665065,7697533,1545905,1545905
Swap_1,2017-02-17,1.033139,1457040,2584160,263010,331587,7962042,1452251,1545905
Swap_1,2017-03-03,1.071495,1501143,2686629,253104,663042,7855993,1495973,1545905
Swap_1,2017-03-17,1.109851,1672202,2682780,86949,702948,7362091,1666179,1666179
Swap_1,2017-03-31,1.148207,1677025,2712425,151831,130877,7099021,1670720,1670720
Swap_1,2017-04-18,1.197522,1661651,2763335,237051,644348,6900917,1655067,1670720
Swap_1,2017-04-28,1.224920,1800101,2941297,188297,856796,7706996,1792765,1792765
Swap_1,2017-05-12,1.263276,1813301,2926273,484769,541134,6981109,1805632,1805632
Swap_1,2017-05-26,1.301632,1707801,2841652,149052,648097,8002258,1700355,1805632
Swap_1,2017-06-09,1.339988,1608026,2717083,452783,463664,8464148,1600804,1805632
Swap_1,2017-06-23,1.378344,1644875,2769548,234941,514455,7862924,1637272,1805632
Swap_1,2017-07-07,1.416700,1619961,2731972,572647,721835,6876075,1612262,1805632
Swap_1,2017-07-21,1.455057,1633033,2723278,702589,602827,7117248,1625058,1805632
Swap_1,2017-08-04,1.493413,1719908,2789342,-254398,734497,7690696,1711283,1805632
Swap_1,2017-08-18,1.531769,1805923,2937803,316112,792469,6628651,1796624,1805632
Swap_1,2017-09-01,1.570125,1811306,3019280,53987,583896,6733457,1801732,1805632
Swap_1,2017-09-15,1.608481,1903391,2825274,348665,1274227,6553585,1893069,1893069
Swap_1,2017-09-29,1.646837,1861954,2807482,383515,385942,6540638,1851602,1893069
Swap_1,2017-10-13,1.685194,1802781,2721203,349955,409818,7110798,1792512,1893069
Swap_1,2017-10-27,1.723550,1847103,2818113,128190,420291,7529842,1836329,1893069
Swap_1,2017-11-13,1.770125,1925998,2987533,315809,458775,8092080,1914432,1914432
Swap_1,2017-11-24,1.800262,1937766,2988778,226632,374877,7383283,1925880,1925880
Swap_1,2017-12-08,1.838618,1886855,2917262,298225,362705,7050522,1874972,1925880
Swap_1,2017-12-22,1.876974,1963313,3076761,483796,593734,8407407,1950627,1950627
Swap_1,2018-01-05,1.915330,2087368,3230670,535647,706768,8935891,2073538,2073538
Swap_1,2018-01-19,1.953687,2207120,3309429,530695,510747,10594139,2192136,2192136
Swap_1,2018-02-02,1.992043,2173784,3280032,457356,655627,10049955,2158670,2192136
Swap_1,2018-02-16,2.030399,2109266,3278778,411008,425647,9881304,2094299,2192136
Swap_1,2018-03-02,2.068755,2143997,3416106,437886,634356,10359410,2128590,2192136
Swap_1,2018-03-16,2.107111,2074960,3106261,390676,428796,9334525,2059861,2192136
Swap_1,2018-04-03,2.156426,2160846,3220354,337023,375027,10694891,2144869,2192136
Swap_1,2018-04-13,2.183824,2248857,3264024,406413,373926,10559529,2232084,2232084
Swap_1,2018-04-27,2.222180,2165522,3180665,329268,123109,10110475,2149174,2232084
Swap_1,2018-05-11,2.260536,2126936,3134936,354430,484692,10444605,2110686,2232084
Swap_1,2018-05-25,2.298892,2201778,3130883,464843,281273,10120226,2184757,2232084
Swap_1,2018-06-08,2.337248,2220639,3039574,595008,406781,10392553,2203271,2232084
Swap_1,2018-06-22,2.375604,2207374,2992698,396603,411489,9605695,2189910,2232084
Swap_1,2018-07-06,2.413961,2259114,2937191,443045,416850,9284921,2241036,2241036
Swap_1,2018-07-20,2.452317,2253311,2992017,372385,18164,9091674,2235075,2241036
Swap_1,2018-08-03,2.490673,2278028,3033060,679219,504644,9289204,2259386,2259386
Swap_1,2018-08-17,2.529029,2313930,3155313,582608,477269,9350668,2294784,2294784
Swap_1,2018-08-31,2.567385,2373455,3120460,616018,503631,9746918,2353602,2353602
Swap_1,2018-09-14,2.605741,2241769,2706148,981443,154078,8502359,2222815,2353602
Swap_1,2018-09-28,2.644098,2175243,2574568,659014,148208,8676680,2156654,2353602
Swap_1,2018-10-12,2.682454,2173158,2542254,418024,279250,8983422,2154390,2353602
Swap_1,2018-10-26,2.720810,2118078,2507397,383030,225080,9088989,2099594,2353602
Swap_1,2018-11-09,2.759166,2111277,2518922,348007,177359,9046936,2092662,2353602
Swap_1,2018-11-23,2.797522,2152433,2627219,583548,170237,9729893,2133259,2353602
Swap_1,2018-12-07,2.835878,2194251,2779220,472929,230513,10036943,2174506,2353602
