#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,-691.0954,#N/A,-55721.4253
CPTY_A,2016-02-19,0.0383,201464.5030,-7.8350,-7.8350,-27.2021,-27.2021
CPTY_A,2016-03-04,0.0765,576292.2479,-22.4153,-30.2503,-101.7461,-128.9482
CPTY_A,2016-03-18,0.1148,720935.0131,-28.0475,-58.2979,-155.6318,-284.5800
CPTY_A,2016-04-01,0.1530,966631.6384,-37.6062,-95.9041,-186.8787,-471.4587
CPTY_A,2016-04-15,0.1913,1028433.4787,-40.0233,-135.9275,-244.7830,-716.2416
CPTY_A,2016-04-29,0.2295,1067149.9136,-41.5535,-177.4810,-320.5754,-1036.8170
CPTY_A,2016-05-13,0.2678,935449.9805,-36.4550,-213.9360,-323.1622,-1359.9792
CPTY_A,2016-05-27,0.3060,933010.5471,-36.3764,-250.3124,-364.2854,-1724.2647
CPTY_A,2016-06-10,0.3443,924661.4152,-36.0971,-286.4095,-437.7308,-2161.9955
CPTY_A,2016-06-24,0.3825,995012.7475,-38.8572,-325.2667,-438.5289,-2600.5244
CPTY_A,2016-07-08,0.4208,1026232.9944,-40.1066,-365.3734,-487.5236,-3088.0479
CPTY_A,2016-07-22,0.4590,1055883.2690,-41.2681,-406.6414,-489.0231,-3577.0711
CPTY_A,2016-08-05,0.4973,909988.2663,-35.5787,-442.2201,-436.5242,-4013.5953
CPTY_A,2016-08-19,0.5355,962753.6438,-37.6578,-479.8779,-435.9510,-4449.5463
CPTY_A,2016-09-02,0.5738,1091601.9852,-42.6733,-522.5512,-429.9628,-4879.5091
CPTY_A,2016-09-16,0.6120,976701.9273,-38.2694,-560.8207,-470.1476,-5349.6567
CPTY_A,2016-09-30,0.6503,944961.4392,-36.9926,-597.8132,-407.9782,-5757.6349
CPTY_A,2016-10-14,0.6885,927147.4396,-36.4030,-634.2163,-499.2131,-6256.8480
CPTY_A,2016-10-28,0.7268,923449.3016,-36.3107,-670.5270,-514.1223,-6770.9703
CPTY_A,2016-11-14,0.7732,843748.2368,-40.5135,-711.0404,-778.0551,-7549.0254
CPTY_A,2016-11-25,0.8033,843215.4038,-26.1761,-737.2166,-478.2027,-8027.2281
CPTY_A,2016-12-09,0.8415,880822.7572,-34.8494,-772.0660,-683.4151,-8710.6432
CPTY_A,2016-12-23,0.8798,807824.3495,-32.1721,-804.2382,-723.3767,-9434.0199
CPTY_A,2017-01-06,0.9181,792073.1869,-31.7228,-835.9609,-828.5533,-10262.5732
CPTY_A,2017-01-20,0.9564,829798.1686,-33.1425,-869.1034,-798.6124,-11061.1856
CPTY_A,2017-02-03,0.9948,784642.6892,-31.5639,-900.6673,-860.3691,-11921.5547
CPTY_A,2017-02-17,1.0331,662788.0380,-26.8317,-927.4990,-799.9876,-12721.5423
CPTY_A,2017-03-03,1.0715,641695.1735,-26.1169,-953.6158,-904.1470,-13625.6893
CPTY_A,2017-03-17,1.1099,481515.5267,-20.0387,-973.6545,-968.0400,-14593.7293
CPTY_A,2017-03-31,1.1482,655252.5742,-26.9697,-1000.6243,-1148.3682,-15742.0975
CPTY_A,2017-04-18,1.1975,590096.0868,-31.5616,-1032.1859,-1510.0013,-17252.0988
CPTY_A,2017-04-28,1.2249,589230.7336,-17.4586,-1049.6445,-820.7779,-18072.8767
CPTY_A,2017-05-12,1.2633,489363.5498,-20.3346,-1069.9792,-967.4551,-19040.3317
CPTY_A,2017-05-26,1.3016,566962.3296,-23.5065,-1093.4856,-1054.4815,-20094.8132
CPTY_A,2017-06-09,1.3400,482119.3082,-20.1499,-1113.6355,-950.2703,-21045.0835
CPTY_A,2017-06-23,1.3783,553974.4492,-22.7271,-1136.3626,-808.8510,-21853.9345
CPTY_A,2017-07-07,1.4167,581690.6639,-24.0764,-1160.4390,-980.1941,-22834.1285
CPTY_A,2017-07-21,1.4551,626840.5943,-26.0941,-1186.5332,-1101.5372,-23935.6658
CPTY_A,2017-08-04,1.4934,666345.5945,-27.6342,-1214.1673,-1108.5346,-25044.2003
