#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
SwaptionPhysical,2016-02-05,0.000000,1159176,0,0,0,1159176,1159176,1159176
SwaptionPhysical,2016-05-06,0.248634,1144668,0,0,0,1565260,1144011,1159176
SwaptionPhysical,2016-08-05,0.497268,1138658,0,0,0,1745140,1137183,1159176
SwaptionPhysical,2016-11-07,0.754098,1140866,0,0,0,2159807,1138226,1159176
SwaptionPhysical,2017-02-06,1.003002,1136300,0,0,0,2288904,1132694,1159176
SwaptionPhysical,2017-05-05,1.244098,1138780,0,0,0,2269914,1134049,1159176
SwaptionPhysical,2017-08-07,1.501632,1155120,0,0,0,2401917,1149295,1159176
SwaptionPhysical,2017-11-06,1.750947,1170351,0,0,0,2588636,1163410,1163410
SwaptionPhysical,2018-02-05,2.000262,1145901,0,0,0,2561804,1137893,1163410
SwaptionPhysical,2018-05-08,2.252317,1126727,0,0,0,2672102,1118141,1163410
SwaptionPhysical,2018-08-06,2.498892,1105765,0,0,0,2961886,1096694,1163410
SwaptionPhysical,2018-11-05,2.748207,1083753,0,0,0,2292848,1074225,1163410
SwaptionPhysical,2019-02-05,3.000262,1110658,0,0,0,2381410,1100234,1163410
SwaptionPhysical,2019-05-07,3.249577,1136192,0,0,0,2805089,1125309,1163410
SwaptionPhysical,2019-08-05,3.496152,1210818,0,0,0,3474855,1199030,1199030
SwaptionPhysical,2019-11-05,3.748207,1181486,0,0,0,3151565,1169794,1199030
SwaptionPhysical,2020-02-05,4.000000,1185504,0,0,0,3896277,1173581,1199030
SwaptionPhysical,2020-05-05,4.245902,1201887,0,0,0,3250723,1190122,1199030
SwaptionPhysical,2020-08-05,4.497268,1212736,0,0,0,3420323,1201236,1201236
SwaptionPhysical,2020-11-05,4.748634,1172177,0,0,0,3539777,1161420,1201236
SwaptionPhysical,2021-02-05,5.000262,1148965,0,0,0,3334523,1138772,1201236
SwaptionPhysical,2021-05-05,5.244098,1187308,0,0,0,4067910,1178105,1201236
SwaptionPhysical,2021-08-05,5.496152,1117593,0,0,0,3483697,1110284,1201236
SwaptionPhysical,2021-11-05,5.748207,1029604,0,0,0,2641760,1024118,1201236
SwaptionPhysical,2022-02-07,6.005741,1062825,0,0,0,2718064,1058480,1201236
SwaptionPhysical,2022-05-05,6.244098,968929,0,0,0,2249064,966714,1201236
SwaptionPhysical,2022-08-05,6.496152,930227,0,0,0,2341796,929901,1201236
SwaptionPhysical,2022-11-07,6.753687,901731,0,0,0,2210427,903202,1201236
SwaptionPhysical,2023-02-06,7.003002,948416,0,0,0,2525807,951785,1201236
SwaptionPhysical,2023-05-05,7.244098,968833,0,0,0,2605218,974610,1201236
