#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference,Base Currency
EQ_CALL_SP5,DiscountCurve/USD/2/2Y,Up,117318.31,0.000100,#N/A,117294.82,-23.49,EUR
EQ_CALL_SP5,DiscountCurve/USD/2/2Y,Down,117318.31,0.000100,#N/A,117341.81,23.50,EUR
EQ_CALL_SP5,FXSpot/USDEUR/0/spot,Up,117318.31,0.008831,#N/A,118491.49,1173.18,EUR
EQ_CALL_SP5,FXSpot/USDEUR/0/spot,Down,117318.31,0.008831,#N/A,116145.13,-1173.18,EUR
EQ_CALL_SP5,EquitySpot/SP5/0/spot,Up,117318.31,21.475600,#N/A,124445.63,7127.32,EUR
EQ_CALL_SP5,EquitySpot/SP5/0/spot,Down,117318.31,21.475600,#N/A,110421.36,-6896.95,EUR
EQ_CALL_SP5,EquityVolatility/SP5/2/2Y/ATM,Up,117318.31,0.001712,#N/A,118665.05,1346.74,EUR
EQ_CALL_SP5,EquityVolatility/SP5/2/2Y/ATM,Down,117318.31,0.001712,#N/A,115971.55,-1346.76,EUR
EQ_PUT_SP5,DiscountCurve/USD/2/2Y,Up,-155558.62,0.000100,#N/A,-155527.47,31.15,EUR
EQ_PUT_SP5,DiscountCurve/USD/2/2Y,Down,-155558.62,0.000100,#N/A,-155589.78,-31.16,EUR
EQ_PUT_SP5,FXSpot/USDEUR/0/spot,Up,-155558.62,0.008831,#N/A,-157114.21,-1555.59,EUR
EQ_PUT_SP5,FXSpot/USDEUR/0/spot,Down,-155558.62,0.008831,#N/A,-154003.03,1555.59,EUR
EQ_PUT_SP5,EquitySpot/SP5/0/spot,Up,-155558.62,21.475600,#N/A,-148753.88,6804.74,EUR
EQ_PUT_SP5,EquitySpot/SP5/0/spot,Down,-155558.62,21.475600,#N/A,-162593.73,-7035.11,EUR
EQ_PUT_SP5,EquityVolatility/SP5/2/2Y/ATM,Up,-155558.62,0.001712,#N/A,-156905.36,-1346.74,EUR
EQ_PUT_SP5,EquityVolatility/SP5/2/2Y/ATM,Down,-155558.62,0.001712,#N/A,-154211.86,1346.76,EUR
FX_CALL_OPTION,DiscountCurve/EUR/6/10Y,Up,302749.85,0.000100,#N/A,302048.04,-701.81,EUR
FX_CALL_OPTION,DiscountCurve/EUR/7/15Y,Up,302749.85,0.000100,#N/A,302735.82,-14.03,EUR
FX_CALL_OPTION,DiscountCurve/USD/6/10Y,Up,302749.85,0.000100,#N/A,303153.31,403.46,EUR
FX_CALL_OPTION,DiscountCurve/USD/7/15Y,Up,302749.85,0.000100,#N/A,302757.91,8.06,EUR
FX_CALL_OPTION,DiscountCurve/EUR/6/10Y,Down,302749.85,0.000100,#N/A,303452.87,703.02,EUR
FX_CALL_OPTION,DiscountCurve/EUR/7/15Y,Down,302749.85,0.000100,#N/A,302763.88,14.03,EUR
FX_CALL_OPTION,DiscountCurve/USD/6/10Y,Down,302749.85,0.000100,#N/A,302346.51,-403.34,EUR
FX_CALL_OPTION,DiscountCurve/USD/7/15Y,Down,302749.85,0.000100,#N/A,302741.79,-8.06,EUR
FX_CALL_OPTION,FXSpot/USDEUR/0/spot,Up,302749.85,0.008831,#N/A,298691.82,-4058.03,EUR
FX_CALL_OPTION,FXSpot/USDEUR/0/spot,Down,302749.85,0.008831,#N/A,306860.78,4110.93,EUR
FX_CALL_OPTION,FXVolatility/USDEUR/3/5Y/ATM,Up,302749.85,0.001459,#N/A,304576.48,1826.63,EUR
FX_CALL_OPTION,FXVolatility/USDEUR/3/5Y/ATM,Down,302749.85,0.001459,#N/A,300923.91,-1825.94,EUR
FX_CALL_OPTION,DiscountCurve/EUR/0/6M:DiscountCurve/EUR/6/10Y,Cross,302749.85,0.000100,0.000100,302048.04,-701.81,EUR
FX_CALL_OPTION,DiscountCurve/EUR/0/6M:DiscountCurve/EUR/7/15Y,Cross,302749.85,0.000100,0.000100,302735.82,-14.03,EUR
FX_CALL_OPTION,DiscountCurve/EUR/1/1Y:DiscountCurve/EUR/6/10Y,Cross,302749.85,0.000100,0.000100,302048.04,-701.81,EUR
