#TradeId,Factor,Up/Down,Base NPV,Scenario NPV,Difference
bmaBasisSwap_01y,DiscountCurve/USD/0/6M,Up,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y,Up,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/2/2Y,Up,141.47,141.47,0.00
bmaBasisSwap_01y,DiscountCurve/USD/0/6M,Down,141.47,141.46,-0.01
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y,Down,141.47,141.42,-0.05
bmaBasisSwap_01y,DiscountCurve/USD/2/2Y,Down,141.47,141.47,0.00
bmaBasisSwap_01y,IndexCurve/USD-LIBOR-3M/0/6M,Up,141.47,321.63,180.16
bmaBasisSwap_01y,IndexCurve/USD-LIBOR-3M/1/1Y,Up,141.47,-556.72,-698.19
bmaBasisSwap_01y,IndexCurve/USD-LIBOR-3M/2/2Y,Up,141.47,129.93,-11.54
bmaBasisSwap_01y,IndexCurve/USD-SIFMA/0/6M,Up,141.47,130.23,-11.25
bmaBasisSwap_01y,IndexCurve/USD-SIFMA/1/1Y,Up,141.47,1009.31,867.84
bmaBasisSwap_01y,IndexCurve/USD-SIFMA/2/2Y,Up,141.47,157.90,16.42
bmaBasisSwap_01y,IndexCurve/USD-LIBOR-3M/0/6M,Down,141.47,-38.70,-180.17
bmaBasisSwap_01y,IndexCurve/USD-LIBOR-3M/1/1Y,Down,141.47,839.63,698.16
bmaBasisSwap_01y,IndexCurve/USD-LIBOR-3M/2/2Y,Down,141.47,153.01,11.54
bmaBasisSwap_01y,IndexCurve/USD-SIFMA/0/6M,Down,141.47,152.72,11.25
bmaBasisSwap_01y,IndexCurve/USD-SIFMA/1/1Y,Down,141.47,-726.37,-867.84
bmaBasisSwap_01y,IndexCurve/USD-SIFMA/2/2Y,Down,141.47,125.05,-16.42
bmaBasisSwap_01y,FXSpot/USDEUR/0/spot,Up,141.47,142.89,1.41
bmaBasisSwap_01y,FXSpot/USDEUR/0/spot,Down,141.47,140.06,-1.41
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/0/6M,Cross,141.47,321.65,180.18
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/1/1Y,Cross,141.47,-556.70,-698.17
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/2/2Y,Cross,141.47,129.95,-11.53
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/3/3Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/5/7Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/6/10Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/7/15Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-3M/8/20Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/0/6M,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/1/1Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/2/2Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/3/3Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/4/5Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/5/7Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/6/10Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/7/15Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-LIBOR-6M/8/20Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/0/6M,Cross,141.47,130.23,-11.24
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/1/1Y,Cross,141.47,1009.32,867.84
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/2/2Y,Cross,141.47,157.91,16.44
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/3/3Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/4/5Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/5/7Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/6/10Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/7/15Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/0/6M:IndexCurve/USD-SIFMA/8/20Y,Cross,141.47,141.49,0.01
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/0/6M,Cross,141.47,321.66,180.19
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/1/1Y,Cross,141.47,-556.61,-698.08
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/2/2Y,Cross,141.47,129.99,-11.48
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/3/3Y,Cross,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/5/7Y,Cross,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/6/10Y,Cross,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/7/15Y,Cross,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-3M/8/20Y,Cross,141.47,141.53,0.05
bmaBasisSwap_01y,DiscountCurve/USD/1/1Y:IndexCurve/USD-LIBOR-6M/0/6M,Cross,141.47,141.53,0.05
