#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
CAP_EUR,parallel_rates,-6881.951398,-19742.775244,-12860.823847
CAP_USD,parallel_rates,-12580.206366,-29965.944904,-17385.738538
CC_SWAP_EUR_USD,parallel_rates,397724.577654,313148.413350,-84576.164304
CC_SWAP_EUR_USD_RESET,parallel_rates,-19582998.606448,-17961780.589206,1621218.017243
CDS,parallel_rates,-7687.966303,-6615.628594,1072.337709
CPI_Swap,parallel_rates,1021768.347989,396188.740703,-625579.607285
CommodityOption,parallel_rates,2050680.111436,2073458.895967,22778.784531
Commodity_Swap,parallel_rates,-18310288.236698,-18018663.876385,291624.360313
EquityOption1,parallel_rates,2996203.315147,2825368.284109,-170835.031038
FLOOR_EUR,parallel_rates,78817.134537,31288.169883,-47528.964654
FLOOR_USD,parallel_rates,29624.753941,13671.764222,-15952.989719
FXFWD_EURUSD_10Y,parallel_rates,179397.791901,155144.058456,-24253.733444
FX_CALL_OPTION,parallel_rates,255094.068908,316142.888178,61048.819270
FX_PUT_OPTION,parallel_rates,74757.521752,160146.320066,85388.798315
INDEX_CDS,parallel_rates,9.556999,30.215161,20.658162
INDEX_CDS_OPTION,parallel_rates,1098.606030,1091.393453,-7.212578
INDEX_CDS_TRANCHE,parallel_rates,-109.743035,62.053279,171.796313
SWAPTION,parallel_rates,-3090531.675961,-2013478.805272,1077052.870690
SWAPTION,twist,-3090531.675961,-3145965.144196,-55433.468235
SWAP_1M_OIS_EUR,parallel_rates,-326621.045016,542954.519279,869575.564295
SWAP_1M_OIS_EUR_OISLEGBPS,parallel_rates,10107.746127,9572.979473,-534.766654
SWAP_EUR,parallel_rates,0.000000,-1678072.900659,-1678072.900659
SWAP_EUR_12Y,parallel_rates,180822.139017,-932523.883222,-1113346.022238
SWAP_USD,parallel_rates,8858.961805,-758835.124236,-767694.086042
YearOnYear_Swap,parallel_rates,590271.224568,80925.463800,-509345.760768
