#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
SwaptionPhysical,2016-02-05,0.000000,377319,0,0,0,377319,377319,377319
SwaptionPhysical,2016-02-19,0.038251,375610,0,375610,0,425151,375901,377319
SwaptionPhysical,2016-03-04,0.076503,373517,0,373517,0,458149,374096,377319
SwaptionPhysical,2016-03-18,0.114754,374448,0,374448,0,464485,375318,377319
SwaptionPhysical,2016-04-01,0.153005,372422,0,372422,0,513006,373577,377319
SwaptionPhysical,2016-04-15,0.191257,373536,0,373536,0,524098,374984,377319
SwaptionPhysical,2016-04-29,0.229508,370719,0,370719,0,525430,372444,377319
SwaptionPhysical,2016-05-13,0.267760,369965,0,369965,0,534732,371974,377319
SwaptionPhysical,2016-05-27,0.306011,368546,0,368546,0,528356,370835,377319
SwaptionPhysical,2016-06-10,0.344262,368030,0,368030,0,551719,370602,377319
SwaptionPhysical,2016-06-24,0.382514,371272,0,371272,0,574202,374156,377319
SwaptionPhysical,2016-07-08,0.420765,369418,0,369418,0,619684,372576,377319
SwaptionPhysical,2016-07-22,0.459016,370988,0,370988,0,635355,374450,377319
SwaptionPhysical,2016-08-05,0.497268,371330,0,371330,0,613077,375085,377319
SwaptionPhysical,2016-08-19,0.535519,368965,0,368965,0,647558,372979,377319
SwaptionPhysical,2016-09-02,0.573770,366984,0,366984,0,607404,371256,377319
SwaptionPhysical,2016-09-16,0.612022,363650,0,363650,0,595022,368161,377319
SwaptionPhysical,2016-09-30,0.650273,361051,0,361051,0,590119,365804,377319
SwaptionPhysical,2016-10-14,0.688525,360491,0,360491,0,604219,365512,377319
SwaptionPhysical,2016-10-28,0.726776,365078,0,365078,0,626577,370442,377319
SwaptionPhysical,2016-11-14,0.773224,360882,0,360882,0,613208,366519,377319
SwaptionPhysical,2016-11-25,0.803279,360489,0,360489,0,642158,366337,377319
SwaptionPhysical,2016-12-09,0.841530,362343,0,362343,0,769255,368498,377319
SwaptionPhysical,2016-12-23,0.879781,362469,0,362469,0,735329,368905,377319
SwaptionPhysical,2017-01-06,0.918070,361832,0,361832,0,728050,368533,377319
SwaptionPhysical,2017-01-20,0.956426,357972,0,357972,0,700502,364877,377319
SwaptionPhysical,2017-02-03,0.994783,357012,0,357012,0,696539,364173,377319
SwaptionPhysical,2017-02-17,1.033139,361281,0,361281,0,722842,368805,377319
SwaptionPhysical,2017-03-03,1.071495,357928,0,357928,0,726409,365657,377319
SwaptionPhysical,2017-03-17,1.109851,359172,0,359172,0,785694,367205,377319
SwaptionPhysical,2017-03-31,1.148207,360687,0,360687,0,784642,369031,377319
SwaptionPhysical,2017-04-18,1.197522,359743,0,359743,0,765622,368422,377319
SwaptionPhysical,2017-04-28,1.224920,359923,0,359923,0,750112,368805,377319
SwaptionPhysical,2017-05-12,1.263276,359374,0,359374,0,776551,368520,377319
SwaptionPhysical,2017-05-26,1.301632,366650,0,366650,0,820652,376265,377319
SwaptionPhysical,2017-06-09,1.339988,361036,0,361036,0,840862,370783,377319
SwaptionPhysical,2017-06-23,1.378344,361690,0,361690,0,756550,371734,377319
SwaptionPhysical,2017-07-07,1.416700,358626,0,358626,0,831373,368863,377319
SwaptionPhysical,2017-07-21,1.455057,357893,0,357893,0,823473,368386,377319
SwaptionPhysical,2017-08-04,1.493413,359471,0,359471,0,736252,370289,377319
SwaptionPhysical,2017-08-18,1.531769,365181,0,365181,0,848565,376454,377319
SwaptionPhysical,2017-09-01,1.570125,364720,0,364720,0,790463,376263,377319
SwaptionPhysical,2017-09-15,1.608481,364497,0,364497,0,845363,376315,377319
SwaptionPhysical,2017-09-29,1.646837,363284,0,363284,0,899032,375346,377319
SwaptionPhysical,2017-10-13,1.685194,362782,0,362782,0,947997,375110,377319
SwaptionPhysical,2017-10-27,1.723550,363614,0,363614,0,937624,376253,377319
SwaptionPhysical,2017-11-13,1.770125,358894,0,358894,0,836390,371709,377319
SwaptionPhysical,2017-11-24,1.800262,355177,0,355177,0,878498,368077,377319
SwaptionPhysical,2017-12-08,1.838618,360695,0,360695,0,859646,374077,377319
SwaptionPhysical,2017-12-22,1.876974,362683,0,362683,0,874359,376423,377319
SwaptionPhysical,2018-01-05,1.915330,361028,0,361028,0,830136,374987,377319
SwaptionPhysical,2018-01-19,1.953687,355469,0,355469,0,787041,369492,377319
SwaptionPhysical,2018-02-02,1.992043,353167,0,353167,0,841434,367376,377319
SwaptionPhysical,2018-02-16,2.030399,355409,0,355409,0,895397,369988,377319
SwaptionPhysical,2018-03-02,2.068755,358650,0,358650,0,923129,373645,377319
SwaptionPhysical,2018-03-16,2.107111,360823,0,360823,0,931851,376195,377319
SwaptionPhysical,2018-04-03,2.156426,358266,0,358266,0,939564,373894,377319
SwaptionPhysical,2018-04-13,2.183824,354826,0,354826,0,1029654,370505,377319
SwaptionPhysical,2018-04-27,2.222180,351364,0,351364,0,972872,367168,377319
SwaptionPhysical,2018-05-11,2.260536,347138,0,347138,0,996808,363028,377319
SwaptionPhysical,2018-05-25,2.298892,342839,0,342839,0,909619,358804,377319
SwaptionPhysical,2018-06-08,2.337248,343834,0,343834,0,929835,360119,377319
SwaptionPhysical,2018-06-22,2.375604,340225,0,340225,0,857142,356609,377319
SwaptionPhysical,2018-07-06,2.413961,343209,0,343209,0,859674,360011,377319
SwaptionPhysical,2018-07-20,2.452317,341035,0,341035,0,835047,358003,377319
SwaptionPhysical,2018-08-03,2.490673,338811,0,338811,0,789673,355938,377319
SwaptionPhysical,2018-08-17,2.529029,338106,0,338106,0,726068,355467,377319
SwaptionPhysical,2018-08-31,2.567385,339791,0,339791,0,731964,357510,377319
SwaptionPhysical,2018-09-14,2.605741,341256,0,341256,0,815740,359325,377319
SwaptionPhysical,2018-09-28,2.644098,339487,0,339487,0,879170,357734,377319
SwaptionPhysical,2018-10-12,2.682454,341948,0,341948,0,842497,360600,377319
SwaptionPhysical,2018-10-26,2.720810,346377,0,346377,0,855776,365549,377319
SwaptionPhysical,2018-11-09,2.759166,349106,0,349106,0,799955,368708,377319
SwaptionPhysical,2018-11-23,2.797522,345214,0,345214,0,772410,364874,377319
SwaptionPhysical,2018-12-07,2.835878,348104,0,348104,0,886237,368209,377319
SwaptionPhysical,2018-12-21,2.874235,353755,0,353755,0,850230,374470,377319
SwaptionPhysical,2019-01-04,2.912591,357000,0,357000,0,910586,378192,378192
SwaptionPhysical,2019-01-18,2.950947,363321,0,363321,0,952650,385182,385182
SwaptionPhysical,2019-02-01,2.989303,361695,0,361695,0,993478,383749,385182
SwaptionPhysical,2019-02-15,3.027659,365367,0,365367,0,963412,387940,387940
SwaptionPhysical,2019-03-01,3.066015,368780,0,368780,0,862575,391861,391861
SwaptionPhysical,2019-03-15,3.104372,371717,0,371717,0,983074,395282,395282
SwaptionPhysical,2019-03-29,3.142728,374006,0,374006,0,1080834,398018,398018
SwaptionPhysical,2019-04-12,3.181084,381236,0,381236,0,1056574,406021,406021
SwaptionPhysical,2019-04-26,3.219440,384993,0,384993,0,1143491,410333,410333
SwaptionPhysical,2019-05-10,3.257796,388626,0,388626,0,1049992,414520,414520
SwaptionPhysical,2019-05-24,3.296152,382505,0,382505,0,1040875,408301,414520
SwaptionPhysical,2019-06-07,3.334509,376711,0,376711,0,1007467,402422,414520
SwaptionPhysical,2019-06-21,3.372865,371514,0,371514,0,993726,397172,414520
SwaptionPhysical,2019-07-05,3.411221,367838,0,367838,0,1010661,393540,414520
SwaptionPhysical,2019-07-19,3.449577,373638,0,373638,0,1159456,400049,414520
SwaptionPhysical,2019-08-02,3.487933,371599,0,371599,0,1081554,398169,414520
SwaptionPhysical,2019-08-16,3.526289,375160,0,375160,0,1054074,402290,414520
SwaptionPhysical,2019-08-30,3.564646,380072,0,380072,0,1055539,407866,414520
SwaptionPhysical,2019-09-13,3.603002,380472,0,380472,0,1126926,408606,414520
SwaptionPhysical,2019-09-27,3.641358,380212,0,380212,0,1093104,408637,414520
SwaptionPhysical,2019-10-11,3.679714,381117,0,381117,0,1118627,409922,414520
SwaptionPhysical,2019-10-25,3.718070,395739,0,395739,0,1248260,425972,425972
SwaptionPhysical,2019-11-08,3.756426,392541,0,392541,0,1205599,422851,425972
SwaptionPhysical,2019-11-22,3.794783,395304,0,395304,0,1120817,426150,426150
SwaptionPhysical,2019-12-06,3.833139,389032,0,389032,0,1153857,419708,426150
SwaptionPhysical,2019-12-20,3.871495,387260,0,387260,0,1104481,418113,426150
SwaptionPhysical,2020-01-03,3.909836,386499,0,386499,0,1126535,417609,426150
SwaptionPhysical,2020-01-17,3.948087,382583,0,382583,0,1177495,413692,426150
SwaptionPhysical,2020-01-31,3.986339,385789,0,385789,0,1254953,417475,426150
SwaptionPhysical,2020-02-14,4.024590,390871,0,390871,0,1279461,423296,426150
SwaptionPhysical,2020-02-28,4.062842,398783,0,398783,0,1334142,432191,432191
SwaptionPhysical,2020-03-13,4.101093,396794,0,396794,0,1318518,430362,432191
SwaptionPhysical,2020-03-27,4.139344,394470,0,394470,0,1413687,428165,432191
SwaptionPhysical,2020-04-14,4.188525,388218,0,388218,0,1216211,421790,432191
SwaptionPhysical,2020-04-24,4.215847,382646,0,382646,0,1268498,415960,432191
SwaptionPhysical,2020-05-11,4.262295,376645,0,376645,0,1059126,409814,432191
SwaptionPhysical,2020-05-22,4.292350,374463,0,374463,0,1036093,407682,432191
SwaptionPhysical,2020-06-05,4.330601,378905,0,378905,0,1085949,412831,432191
SwaptionPhysical,2020-06-19,4.368852,376529,0,376529,0,1149894,410553,432191
SwaptionPhysical,2020-07-06,4.415301,381066,0,381066,0,1315987,415882,432191
SwaptionPhysical,2020-07-17,4.445355,375018,0,375018,0,1175445,409526,432191
SwaptionPhysical,2020-07-31,4.483607,376119,0,376119,0,1239257,411039,432191
SwaptionPhysical,2020-08-14,4.521858,373756,0,373756,0,1147672,408766,432191
SwaptionPhysical,2020-08-28,4.560109,372453,0,372453,0,1192938,407649,432191
SwaptionPhysical,2020-09-11,4.598361,373590,0,373590,0,1176860,409204,432191
SwaptionPhysical,2020-09-25,4.636612,378259,0,378259,0,1212058,414631,432191
SwaptionPhysical,2020-10-09,4.674863,375987,0,375987,0,1160905,412453,432191
SwaptionPhysical,2020-10-23,4.713115,377107,0,377107,0,1272862,413995,432191
SwaptionPhysical,2020-11-06,4.751366,384132,0,384132,0,1244649,422028,432191
SwaptionPhysical,2020-11-20,4.789617,381084,0,381084,0,1297377,418995,432191
SwaptionPhysical,2020-12-04,4.827869,385900,0,385900,0,1153676,424613,432191
SwaptionPhysical,2020-12-18,4.866120,375368,0,375368,0,1207174,413337,432191
SwaptionPhysical,2021-01-04,4.912591,369168,0,369168,0,1176672,406883,432191
SwaptionPhysical,2021-01-15,4.942728,360416,0,360416,0,1021155,397474,432191
SwaptionPhysical,2021-01-29,4.981084,355377,0,355377,0,967954,392213,432191
SwaptionPhysical,2021-02-12,5.019440,351807,0,351807,0,1011764,388569,432191
SwaptionPhysical,2021-02-26,5.057796,346697,0,346697,0,943843,383215,432191
SwaptionPhysical,2021-03-12,5.096152,342395,0,342395,0,909804,378748,432191
SwaptionPhysical,2021-03-26,5.134509,330826,0,330826,0,881782,366228,432191
SwaptionPhysical,2021-04-09,5.172865,326509,0,326509,0,897692,361724,432191
SwaptionPhysical,2021-04-23,5.211221,330768,0,330768,0,926916,366720,432191
SwaptionPhysical,2021-05-07,5.249577,324494,0,324494,0,890008,360038,432191
SwaptionPhysical,2021-05-21,5.287933,334097,0,334097,0,1001054,370975,432191
SwaptionPhysical,2021-06-04,5.326289,333900,0,333900,0,849409,371037,432191
SwaptionPhysical,2021-06-18,5.364646,334050,0,334050,0,904000,371486,432191
SwaptionPhysical,2021-07-02,5.403002,333007,0,333007,0,936512,370608,432191
SwaptionPhysical,2021-07-16,5.441358,334257,0,334257,0,1032068,372282,432191
SwaptionPhysical,2021-07-30,5.479714,343905,0,343905,0,943632,383318,432191
SwaptionPhysical,2021-08-13,5.518070,334923,0,334923,0,859446,373590,432191
SwaptionPhysical,2021-08-27,5.556426,324491,0,324491,0,868973,362229,432191
SwaptionPhysical,2021-09-10,5.594783,315967,0,315967,0,851757,352982,432191
SwaptionPhysical,2021-09-24,5.633139,308770,0,308770,0,928245,345204,432191
SwaptionPhysical,2021-10-08,5.671495,303852,0,303852,0,890732,339963,432191
SwaptionPhysical,2021-10-22,5.709851,298031,0,298031,0,829364,333704,432191
SwaptionPhysical,2021-11-05,5.748207,303821,0,303821,0,881880,340446,432191
SwaptionPhysical,2021-11-19,5.786563,296793,0,296793,0,778150,332823,432191
SwaptionPhysical,2021-12-03,5.824920,295053,0,295053,0,750265,331123,432191
SwaptionPhysical,2021-12-17,5.863276,300839,0,300839,0,814538,337873,432191
SwaptionPhysical,2022-01-04,5.912591,290926,0,290926,0,747492,327059,432191
SwaptionPhysical,2022-01-14,5.939988,290253,0,290253,0,740723,326479,432191
SwaptionPhysical,2022-01-28,5.978344,284040,0,284040,0,720246,319733,432191
SwaptionPhysical,2022-02-11,6.016700,280662,0,280662,0,777490,316172,432191
SwaptionPhysical,2022-02-25,6.055057,280744,0,280744,0,815313,316504,432191
SwaptionPhysical,2022-03-11,6.093413,282072,0,282072,0,915021,318243,432191
SwaptionPhysical,2022-03-25,6.131769,281137,0,281137,0,910307,317429,432191
SwaptionPhysical,2022-04-08,6.170125,293571,0,293571,0,987627,331719,432191
SwaptionPhysical,2022-04-22,6.208481,307081,0,307081,0,1080608,347249,432191
SwaptionPhysical,2022-05-06,6.246837,319226,0,319226,0,1324522,361257,432191
SwaptionPhysical,2022-05-20,6.285194,312585,0,312585,0,1308886,354010,432191
SwaptionPhysical,2022-06-07,6.334509,308727,0,308727,0,1250930,349983,432191
SwaptionPhysical,2022-06-17,6.361906,307779,0,307779,0,1174610,349098,432191
SwaptionPhysical,2022-07-01,6.400262,310176,0,310176,0,1370776,352083,432191
SwaptionPhysical,2022-07-15,6.438618,298293,0,298293,0,1181328,338852,432191
SwaptionPhysical,2022-07-29,6.476974,304013,0,304013,0,1242405,345613,432191
SwaptionPhysical,2022-08-12,6.515330,310324,0,310324,0,1225382,353055,432191
SwaptionPhysical,2022-08-26,6.553687,306610,0,306610,0,1161434,349094,432191
SwaptionPhysical,2022-09-09,6.592043,297969,0,297969,0,1092656,339514,432191
SwaptionPhysical,2022-09-23,6.630399,296680,0,296680,0,1044559,338302,432191
SwaptionPhysical,2022-10-07,6.668755,300444,0,300444,0,1116891,342854,432191
SwaptionPhysical,2022-10-21,6.707111,306037,0,306037,0,1083636,349502,432191
SwaptionPhysical,2022-11-04,6.745467,304344,0,304344,0,896982,347833,432191
SwaptionPhysical,2022-11-18,6.783824,304938,0,304938,0,822927,348776,432191
SwaptionPhysical,2022-12-02,6.822180,304470,0,304470,0,891813,348506,432191
SwaptionPhysical,2022-12-16,6.860536,303600,0,303600,0,885635,347774,432191
SwaptionPhysical,2022-12-30,6.898892,305124,0,305124,0,1029678,349785,432191
SwaptionPhysical,2023-01-13,6.937248,312103,0,312103,0,987666,358058,432191
SwaptionPhysical,2023-01-27,6.975604,303705,0,303705,0,915329,348688,432191
SwaptionPhysical,2023-02-10,7.013961,308927,0,308927,0,994100,354953,432191
SwaptionPhysical,2023-02-24,7.052317,312235,0,312235,0,1290136,359026,432191
SwaptionPhysical,2023-03-10,7.090673,307338,0,307338,0,1200769,353663,432191
SwaptionPhysical,2023-03-24,7.129029,321715,0,321715,0,1144748,370488,432191
SwaptionPhysical,2023-04-11,7.178344,323107,0,323107,0,1137694,372455,432191
SwaptionPhysical,2023-04-21,7.205741,317742,0,317742,0,1037386,366468,432191
SwaptionPhysical,2023-05-05,7.244098,312261,0,312261,0,1027894,360421,432191
SwaptionPhysical,2023-05-19,7.282454,310610,0,310610,0,1034447,358788,432191
SwaptionPhysical,2023-06-02,7.320810,314242,0,314242,0,1280951,363258,432191
