#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,151336.68,1996747.63,950833.37,-21953.88,1025623.52,-25378.32,1074141.37,-27702.17,0.00,-31845.49,0.00,0.00,0.00,0.00,0.00,151336.68,1996747.63,None,2688.39,2688.39
AverageOIS_USD,CPTY_A,13.33,2538.55,1253.50,-2.20,1265.53,-2.23,1272.74,-2.26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,847.06,847.06
BermSwp,CPTY_A,4567.68,56.99,24.24,-675.50,31.69,-765.97,37.17,-827.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,54085.76,54085.76
CC_SWAP_EUR_USD,CPTY_A,98830.23,1978797.69,944182.92,-14730.96,1014847.42,-16573.30,1060323.04,-17780.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,7597.90,7597.90
Composite,CPTY_A,45132.49,69464.25,31947.95,-6627.46,36610.09,-7568.46,39809.25,-8212.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,280511.58,281843.07
FXSwap,CPTY_A,3920.89,10681.37,5022.47,-597.15,5538.92,-657.51,5875.98,-696.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,29708.62,29708.62
FX_CALL_OPTION,CPTY_A,12266.83,0.00,0.00,-1899.01,0.00,-2057.08,0.00,-2159.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,216108.17,216426.28
OIS_EUR,CPTY_A,155.63,672.73,331.30,-25.81,336.45,-26.10,339.55,-26.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,16606.04,24977.30
Swap_EUR,CPTY_A,41321.65,70646.85,32516.03,-6070.34,37213.46,-6929.41,40435.04,-7517.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,247454.10,247732.94
Swap_USD,CPTY_A,55438.31,42722.55,19862.33,-8174.28,22341.62,-9296.68,24029.27,-10060.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,298576.37,298576.37
