#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201477.63,0.00,1201477.63,-1201477.63,1201477.63,1201477.63
CPTY_A,2016-02-19,0.038251,1086305.15,156845.84,2688492.45,201451.50,1086255.06,1201477.63
CPTY_A,2016-03-04,0.076503,856327.49,205624.81,2935201.78,576261.98,856220.45,1201477.63
CPTY_A,2016-03-18,0.114754,1129563.32,324432.09,3122746.35,720906.90,1129318.46,1201477.63
CPTY_A,2016-04-01,0.153005,909428.60,364410.53,3384466.17,966596.73,909149.19,1201477.63
CPTY_A,2016-04-15,0.191257,800518.11,309495.02,2329193.91,1028396.37,800195.70,1201477.63
CPTY_A,2016-04-29,0.229508,712679.95,500817.26,2503225.13,1067115.31,712311.60,1201477.63
CPTY_A,2016-05-13,0.267760,788320.92,435638.72,2474012.32,935420.67,787824.55,1201477.63
CPTY_A,2016-05-27,0.306011,816642.58,515629.85,3118557.09,932983.35,816040.12,1201477.63
CPTY_A,2016-06-10,0.344262,794760.15,470471.02,2814981.66,924628.38,794087.95,1201477.63
CPTY_A,2016-06-24,0.382514,860407.63,562191.14,2470244.95,994985.48,859558.92,1201477.63
CPTY_A,2016-07-08,0.420765,580043.62,299815.69,2169863.43,1026204.61,579389.92,1201477.63
CPTY_A,2016-07-22,0.459016,777874.59,676570.06,3023979.25,1055855.79,776925.22,1201477.63
CPTY_A,2016-08-05,0.497268,688139.67,434788.42,2868788.05,909965.05,687248.47,1201477.63
CPTY_A,2016-08-19,0.535519,605679.24,406636.92,2060492.66,962731.82,604815.64,1201477.63
CPTY_A,2016-09-02,0.573770,701341.17,671846.27,2485508.07,1091563.55,700227.63,1201477.63
CPTY_A,2016-09-16,0.612022,706939.08,645169.03,2670211.78,976660.25,705711.62,1201477.63
CPTY_A,2016-09-30,0.650273,564430.74,513533.90,2070327.45,944928.23,563385.60,1201477.63
CPTY_A,2016-10-14,0.688525,720995.02,675795.73,2702255.50,927112.30,719564.84,1201477.63
CPTY_A,2016-10-28,0.726776,553227.47,607622.78,2711591.93,923418.48,552023.44,1201477.63
CPTY_A,2016-11-14,0.773224,499285.71,474411.89,1011613.51,843707.51,498090.03,1201477.63
CPTY_A,2016-11-25,0.803279,649869.36,597909.68,3430250.41,843174.68,648242.56,1201477.63
CPTY_A,2016-12-09,0.841530,623479.32,647506.58,2433828.45,880785.82,621832.51,1201477.63
CPTY_A,2016-12-23,0.879781,623322.89,565474.39,2331400.44,807791.27,621593.05,1201477.63
CPTY_A,2017-01-06,0.918070,713068.00,652732.60,3021948.04,792041.22,710994.45,1201477.63
CPTY_A,2017-01-20,0.956426,590843.28,626806.23,2143383.21,829768.56,589052.93,1201477.63
CPTY_A,2017-02-03,0.994783,528527.58,645146.63,1936709.17,784613.62,526863.66,1201477.63
CPTY_A,2017-02-17,1.033139,568023.18,592983.87,2656857.54,662766.07,566156.56,1201477.63
CPTY_A,2017-03-03,1.071495,456058.71,630939.32,2134308.58,641663.40,454488.01,1201477.63
CPTY_A,2017-03-17,1.109851,704751.45,527663.46,2319358.80,481485.39,702212.98,1201477.63
CPTY_A,2017-03-31,1.148207,564762.58,518025.43,2526280.58,655235.03,562639.20,1201477.63
CPTY_A,2017-04-18,1.197522,481316.70,448038.46,1014537.31,590080.35,479409.40,1201477.63
CPTY_A,2017-04-28,1.224920,480540.08,570372.18,2030743.66,589215.00,478581.69,1201477.63
CPTY_A,2017-05-12,1.263276,650243.09,630068.41,3008252.85,489350.63,647493.00,1201477.63
CPTY_A,2017-05-26,1.301632,502241.31,546711.58,1866976.68,566949.06,500051.41,1201477.63
CPTY_A,2017-06-09,1.339988,658327.99,539848.97,2549571.81,482105.93,655371.31,1201477.63
CPTY_A,2017-06-23,1.378344,509168.58,454911.75,2430473.49,553960.24,506815.16,1201477.63
CPTY_A,2017-07-07,1.416700,594181.12,581735.19,2234367.35,581676.02,591356.99,1201477.63
CPTY_A,2017-07-21,1.455057,585369.80,530682.46,2059406.34,626827.36,582510.95,1201477.63
CPTY_A,2017-08-04,1.493413,497846.82,556355.38,2938729.24,666333.51,495350.27,1201477.63
CPTY_A,2017-08-18,1.531769,611631.69,641132.76,2674608.60,567001.07,608482.40,1201477.63
CPTY_A,2017-09-01,1.570125,694878.70,668148.41,2499389.90,544950.21,691205.67,1201477.63
CPTY_A,2017-09-15,1.608481,508996.80,542685.59,2496122.53,582612.11,506236.66,1201477.63
CPTY_A,2017-09-29,1.646837,559578.11,463933.40,1731568.30,512015.30,556467.11,1201477.63
CPTY_A,2017-10-13,1.685194,651937.35,588976.09,2447542.13,531153.54,648223.68,1201477.63
CPTY_A,2017-10-27,1.723550,576334.63,609033.76,2136660.27,498326.57,572972.78,1201477.63
