#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
SwaptionPhysicalPremium,2016-02-05,0.000000,12299,0,0,0,12299,12299,12299,12298.78,12298.78
SwaptionPhysicalPremium,2016-05-06,0.248634,73517,73922,0,0,337884,73474,73474,73474.45,73474.45
SwaptionPhysicalPremium,2016-08-05,0.497268,122253,126001,0,0,500656,122094,122094,97784.32,97784.32
SwaptionPhysicalPremium,2016-11-07,0.754098,139885,143928,0,0,826150,139561,139561,112012.64,112012.64
SwaptionPhysicalPremium,2017-02-06,1.003002,168246,177680,0,0,936025,167712,167712,125834.93,125834.93
SwaptionPhysicalPremium,2017-05-05,1.244098,190122,199014,0,0,954836,189333,189333,138140.27,138140.27
SwaptionPhysicalPremium,2017-08-07,1.501632,232916,225839,0,0,1039320,231741,231741,154193.12,154193.12
SwaptionPhysicalPremium,2017-11-06,1.750947,247147,244676,0,0,1116579,245682,245682,167220.06,167220.06
SwaptionPhysicalPremium,2018-02-05,2.000262,244409,267826,0,0,1109483,242701,245682,176628.08,176999.60
SwaptionPhysicalPremium,2018-05-08,2.252317,240503,270337,0,0,1207837,238671,245682,183571.21,184685.75
SwaptionPhysicalPremium,2018-08-06,2.498892,193723,269108,0,0,854862,192134,245682,184416.11,190704.45
SwaptionPhysicalPremium,2018-11-05,2.748207,252718,296612,0,0,1141489,250496,250496,190410.85,196128.71
SwaptionPhysicalPremium,2019-02-05,3.000262,339179,325088,0,0,1749965,335996,335996,202641.58,207879.07
SwaptionPhysicalPremium,2019-05-07,3.249577,303629,311363,0,0,1511394,300721,335996,210166.46,217708.48
SwaptionPhysicalPremium,2019-08-05,3.496152,330963,317829,0,0,1356200,327741,335996,218458.69,226051.00
SwaptionPhysicalPremium,2019-11-05,3.748207,344394,329698,0,0,1617989,340986,340986,226698.27,233780.02
SwaptionPhysicalPremium,2020-02-05,4.000000,356081,339604,0,0,1880871,352500,352500,234617.25,241253.22
SwaptionPhysicalPremium,2020-05-05,4.245902,331058,354361,0,0,1844692,327817,352500,240014.95,247696.07
SwaptionPhysicalPremium,2020-08-05,4.497268,383629,374473,0,0,2491339,379991,379991,247838.62,255090.42
SwaptionPhysicalPremium,2020-11-05,4.748634,289774,376927,0,0,1854321,287115,379991,249917.68,261701.94
SwaptionPhysicalPremium,2021-02-05,5.000262,224326,379137,0,0,1153013,222336,379991,248529.67,267654.58
SwaptionPhysicalPremium,2021-05-05,5.244098,261847,388407,0,0,1232722,259817,379991,249054.50,272877.89
SwaptionPhysicalPremium,2021-08-05,5.496152,171574,390045,0,0,778236,170452,379991,245449.77,277790.11
SwaptionPhysicalPremium,2021-11-05,5.748207,153683,406889,0,0,882592,152864,379991,241389.95,282271.53
SwaptionPhysicalPremium,2022-02-07,6.005741,164266,432340,0,0,869649,163595,379991,238053.99,286461.86
SwaptionPhysicalPremium,2022-05-05,6.244098,210263,444684,0,0,1010140,209783,379991,236974.79,290032.13
SwaptionPhysicalPremium,2022-08-05,6.496152,235291,457047,0,0,979797,235208,379991,236906.25,293522.58
SwaptionPhysicalPremium,2022-11-07,6.753687,226649,467157,0,0,781809,227018,379991,236529.20,296819.82
SwaptionPhysicalPremium,2023-02-06,7.003002,234225,465832,0,0,1162124,235057,379991,236476.77,299780.80
SwaptionPhysicalPremium,2023-05-05,7.244098,273670,490965,0,0,1661124,275302,379991,237768.92,302450.32
SwaptionPhysicalPremium,2023-08-07,7.501632,300337,474292,0,0,1182940,302912,379991,240005.31,305112.31
SwaptionPhysicalPremium,2023-11-06,7.750947,286314,484886,0,0,1340767,289494,379991,241597.16,307520.83
SwaptionPhysicalPremium,2024-02-05,8.000000,280906,479428,0,0,1151708,284739,379991,242940.24,309776.93
SwaptionPhysicalPremium,2024-05-07,8.251366,318265,515199,0,0,1223562,323582,379991,245396.88,311915.89
SwaptionPhysicalPremium,2024-08-05,8.497268,314976,520117,0,0,1518106,321195,379991,247590.41,313885.90
SwaptionPhysicalPremium,2024-11-05,8.748634,332727,528795,0,0,1483009,340335,379991,250255.15,315785.23
SwaptionPhysicalPremium,2025-02-05,9.000262,369450,525359,0,0,1181037,379053,379991,253856.07,317580.27
SwaptionPhysicalPremium,2025-05-06,9.246837,372435,551770,0,0,2364814,383449,383449,257311.80,319336.73
SwaptionPhysicalPremium,2025-08-05,9.496152,459789,572644,0,0,1781198,475073,475073,263028.97,323425.49
SwaptionPhysicalPremium,2025-11-05,9.748207,501298,592763,0,0,2520877,519828,519828,269668.90,328503.77
