#TradeId,NettingSetId,CVA,DVA,FBA,FCA,FBAexOwnSP,FCAexOwnSP,FBAexAllSP,FCAexAllSP,COLVA,MVA,OurKVACCR,TheirKVACCR,OurKVACVA,TheirKVACVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,145744.39,1980833.72,943344.33,-21150.60,1017378.74,-24440.52,1065400.89,-26674.76,0.00,-31752.05,0.00,0.00,0.00,0.00,0.00,145744.39,1980833.72,None,13507.49,13507.49
AverageOIS_USD,CPTY_A,15.66,2517.57,1243.14,-2.58,1255.08,-2.63,1262.23,-2.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,989.72,989.72
BermSwp,CPTY_A,4553.26,51.25,21.80,-673.49,28.49,-763.56,33.42,-825.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,54015.22,54015.22
CC_SWAP_EUR_USD,CPTY_A,93994.27,1965161.11,937760.64,-14036.69,1007786.63,-15762.33,1052843.75,-16892.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,18296.19,18296.19
Composite,CPTY_A,45123.53,69361.86,31904.89,-6630.28,36552.77,-7566.96,39741.70,-8207.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,288617.52,289332.72
FXSwap,CPTY_A,3920.89,10681.37,5022.47,-597.15,5538.92,-657.51,5875.98,-696.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,29708.62,29708.62
FX_CALL_OPTION,CPTY_A,12493.40,0.00,0.00,-1934.50,0.00,-2095.08,0.00,-2198.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,218234.07,218234.07
OIS_EUR,CPTY_A,163.61,674.97,332.41,-27.12,337.56,-27.44,340.65,-27.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,17075.75,25657.72
Swap_EUR,CPTY_A,41455.36,70602.31,32497.25,-6091.77,37188.58,-6951.83,40405.89,-7540.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,255447.16,255447.16
Swap_USD,CPTY_A,55741.75,42899.87,19946.48,-8221.15,22432.96,-9347.57,24125.23,-10114.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00,0.00,None,301539.79,301539.79
