#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
SWAP_EUR,Swap,2036-02-11,20.016393,-262338.419047,EUR,-262338.419047,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CC_SWAP_EUR_USD,Swap,2026-02-05,10.000262,-23643092.446220,USD,-20879908.054069,EUR,100000000.00,USD,88312931.57,CPTY_A,CPTY_A
CC_SWAP_EUR_USD_RESET,Swap,2026-02-05,10.000262,-22173661.990841,USD,-19582210.941479,EUR,100000000.00,USD,88312931.57,CPTY_A,CPTY_A
FXFWD_EURUSD_10Y,FxForward,2026-03-01,10.066015,203113.817465,USD,179375.766636,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FX_CALL_OPTION,FxOption,2026-03-01,10.066015,288851.910221,USD,255093.589824,EUR,1100000.00,USD,971442.25,CPTY_A,CPTY_A
FX_PUT_OPTION,FxOption,2026-03-01,10.066015,85738.092756,USD,75717.823189,EUR,1100000.00,USD,971442.25,CPTY_A,CPTY_A
EUROPEAN_SWAPTION,Swaption,2038-10-01,22.652317,-3091455.973555,EUR,-3091455.973555,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
BERMUDAN_SWAPTION,Swaption,2038-10-01,22.652317,-3140640.266888,EUR,-3140640.266888,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CAP_USD,CapFloor,2026-02-09,10.011221,-14245.332068,USD,-12580.470362,EUR,1000000.00,USD,883129.32,CPTY_A,CPTY_A
FLOOR_USD,CapFloor,2026-02-09,10.011221,33545.632269,USD,29625.131272,EUR,1000000.00,USD,883129.32,CPTY_A,CPTY_A
CAP_EUR,CapFloor,2026-02-09,10.011221,-6881.951398,EUR,-6881.951398,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FLOOR_EUR,CapFloor,2026-02-09,10.011221,78817.134537,EUR,78817.134537,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
BOND,Bond,2021-02-03,4.994783,12902649.282760,EUR,12902649.282760,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Bond_Floating,Bond,2021-02-03,4.994783,10765048.489931,EUR,10765048.489931,EUR,10000000.00,EUR,10000000.00,,CPTY_C
EQ_CALL_SP5,EquityOption,2018-02-05,2.000262,203549.250229,USD,179760.310075,EUR,1664359.00,USD,1469844.22,CPTY_A,CPTY_A
EQ_PUT_SP5,EquityOption,2018-02-05,2.000262,-246850.031932,USD,-218000.499791,EUR,1664359.00,USD,1469844.22,CPTY_A,CPTY_A
EQ_FWD_SP5,EquityForward,2018-02-05,2.000262,43300.781703,USD,38240.189717,EUR,1664359.00,USD,1469844.22,CPTY_A,CPTY_A
EQ_CALL_LUFT,EquityOption,2018-03-01,2.066015,1872.588407,EUR,1872.588407,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_PUT_LUFT,EquityOption,2018-03-01,2.066015,1474.112931,EUR,1474.112931,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_FWD_LUFT,EquityForward,2018-03-01,2.066015,398.475476,EUR,398.475476,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
CPI_Swap,Swap,2021-07-19,5.449577,829604.503420,GBP,1021758.438969,EUR,10000000.00,GBP,12316211.34,CPTY_A,CPTY_A
YearOnYear_Swap,Swap,2021-07-19,5.449577,590271.224568,EUR,590271.224568,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CDS,CreditDefaultSwap,2026-03-20,10.118070,804.693530,USD,710.648447,EUR,10000000.00,USD,8831293.16,CPTY_B,CPTY_B
